"supportprojectstatuslogid","previousstatus","currentstatus","startdate","enddate","reason","additionalinfo","supportprojectstatuslog2supportproject","changetype"
1228,5,5,"2020-06-11",NULL,NULL,NULL,104,0
1222,5,5,"2020-06-09",NULL,NULL,NULL,104,0
1221,5,5,"2020-06-09",NULL,NULL,NULL,104,0
1229,5,5,"2020-06-11","2020-07-07",NULL,NULL,104,0
1278,5,6,"2020-07-07",NULL,NULL,NULL,104,0
265,0,1,"2019-02-11","2019-02-11",NULL,NULL,105,0
268,1,3,"2019-02-11",NULL,NULL,NULL,105,0
266,1,9,"2019-02-11","2019-02-11",3,"DUPLICATION",106,1
267,9,7,"2019-02-11",NULL,NULL,NULL,106,0
263,0,9,"2019-02-11","2019-02-11",3,"TEST",107,1
922,7,10,"2020-02-21",NULL,NULL,NULL,107,0
264,9,7,"2019-02-11",NULL,NULL,NULL,107,0
360,1,3,"2019-03-30",NULL,NULL,NULL,108,0
336,1,3,"2019-03-14","2019-08-07",NULL,NULL,109,0
1185,3,9,"2020-05-26",NULL,1,NULL,109,1
1184,4,3,"2020-05-26","2020-05-26",NULL,NULL,109,0
515,4,3,"2019-08-07","2020-05-26",NULL,NULL,109,0
337,1,9,"2019-03-14","2019-05-03",2,NULL,110,1
398,1,4,"2019-05-03",NULL,NULL,NULL,110,0
1190,5,5,"2020-05-26",NULL,NULL,NULL,110,0
397,9,1,"2019-05-03","2019-05-03",NULL,NULL,110,0
942,1,9,"2020-02-26",NULL,3,"Service to be broken down on 4 requests as suggested in the request description.",111,1
324,1,3,"2019-03-08","2020-03-24",NULL,NULL,112,0
1033,4,6,"2020-03-24",NULL,NULL,NULL,112,0
355,1,3,"2019-03-30","2019-10-07",NULL,NULL,113,0
594,3,4,"2019-10-07","2020-04-20",NULL,NULL,113,0
1103,4,6,"2020-04-20",NULL,NULL,NULL,113,0
298,1,3,"2019-02-25","2019-07-10",NULL,NULL,114,0
1067,4,3,"2020-04-07",NULL,NULL,NULL,114,0
593,4,3,"2019-10-03","2020-02-07",NULL,NULL,114,0
495,4,3,"2019-07-10","2019-10-03",NULL,NULL,114,0
820,4,3,"2020-02-07","2020-04-07",NULL,NULL,114,0
304,1,4,"2019-02-27","2019-05-25",NULL,NULL,115,0
442,5,6,"2019-05-25","2019-05-27",NULL,NULL,115,0
446,6,8,"2019-05-27",NULL,NULL,NULL,115,0
296,1,3,"2019-02-21","2019-10-03",NULL,NULL,116,0
592,4,3,"2019-10-03","2020-02-07",NULL,NULL,116,0
823,4,3,"2020-02-07",NULL,NULL,NULL,116,0
308,1,4,"2019-02-28",NULL,NULL,NULL,117,0
1180,4,5,"2020-05-26","2020-05-26",NULL,NULL,117,0
1186,5,6,"2020-05-26","2020-07-30",NULL,NULL,117,0
1355,6,8,"2020-07-30",NULL,NULL,NULL,117,0
1178,1,3,"2020-05-26",NULL,NULL,NULL,118,0
411,1,9,"2019-05-10",NULL,1,NULL,119,1
299,0,1,"2019-02-26","2019-08-30",NULL,NULL,120,0
523,1,3,"2019-08-30",NULL,NULL,NULL,120,0
323,1,3,"2019-03-07","2019-07-10",NULL,NULL,121,0
494,3,4,"2019-07-10","2019-09-06",NULL,NULL,121,0
530,4,6,"2019-09-06","2019-09-25",NULL,NULL,121,0
493,4,3,"2019-07-10","2019-07-10",NULL,NULL,121,0
564,6,8,"2019-09-25",NULL,NULL,NULL,121,0
303,1,3,"2019-02-27",NULL,NULL,NULL,122,0
1117,5,5,"2020-05-02",NULL,NULL,NULL,122,0
333,1,3,"2019-03-11","2019-10-11",NULL,NULL,123,0
872,3,9,"2020-02-18",NULL,1,NULL,123,1
612,4,3,"2019-10-11","2020-02-18",NULL,NULL,123,0
865,4,3,"2020-02-18","2020-02-18",NULL,NULL,123,0
348,1,3,"2019-03-27","2019-11-20",NULL,NULL,124,0
888,3,9,"2020-02-19","2020-05-28",3,"La asociación va a lanzar la convocatoria para contratar al responsable técnico del proceso de actualización del Proyecto Educativo. Se espera que inicie actividades en el mes de abril.",124,1
665,4,3,"2019-11-20","2020-02-19",NULL,NULL,124,0
1203,9,3,"2020-05-28",NULL,NULL,NULL,124,0
325,1,3,"2019-03-08","2019-03-08",NULL,NULL,125,0
326,3,4,"2019-03-08","2019-03-08",NULL,NULL,125,0
327,4,6,"2019-03-08","2019-05-10",NULL,NULL,125,0
409,6,8,"2019-05-10",NULL,NULL,NULL,125,0
328,1,3,"2019-03-08","2019-05-10",NULL,NULL,126,0
410,4,6,"2019-05-10","2019-09-26",NULL,NULL,126,0
571,6,8,"2019-09-26",NULL,NULL,NULL,126,0
407,1,3,"2019-05-09","2019-08-07",NULL,NULL,127,0
514,4,3,"2019-08-07",NULL,NULL,NULL,127,0
305,1,3,"2019-02-27",NULL,NULL,NULL,128,0
526,1,3,"2019-08-30",NULL,NULL,NULL,129,0
300,1,3,"2019-02-27","2020-07-16",NULL,NULL,130,0
1321,4,3,"2020-07-16",NULL,NULL,NULL,130,0
338,1,3,"2019-03-14",NULL,NULL,NULL,131,0
1056,4,5,"2020-04-03","2020-04-14",NULL,NULL,131,0
1088,5,6,"2020-04-14",NULL,NULL,NULL,131,0
369,1,3,"2019-04-04","2019-09-25",NULL,NULL,132,0
1254,3,4,"2020-06-30","2020-06-30",NULL,NULL,132,0
824,4,3,"2020-02-07","2020-06-30",NULL,NULL,132,0
1255,4,3,"2020-06-30",NULL,NULL,NULL,132,0
567,4,3,"2019-09-25","2020-02-07",NULL,NULL,132,0
349,1,3,"2019-03-27","2020-01-30",NULL,NULL,133,0
1245,4,3,"2020-06-17",NULL,NULL,NULL,133,0
797,4,3,"2020-01-30","2020-06-17",NULL,NULL,133,0
343,1,9,"2019-03-25","2019-03-27",3,"Corresponde al área de participación juvenil",134,1
350,9,7,"2019-03-27",NULL,NULL,NULL,134,0
332,1,3,"2019-03-11","2019-06-30",NULL,NULL,135,0
481,3,4,"2019-06-30","2019-09-25",NULL,NULL,135,0
566,4,6,"2019-09-25",NULL,NULL,NULL,135,0
342,1,3,"2019-03-20","2019-07-10",NULL,NULL,136,0
492,4,3,"2019-07-10","2019-10-03",NULL,NULL,136,0
591,4,3,"2019-10-03",NULL,NULL,NULL,136,0
312,1,3,"2019-03-01",NULL,NULL,NULL,137,0
331,1,3,"2019-03-11","2019-10-10",NULL,NULL,138,0
607,4,3,"2019-10-10",NULL,NULL,NULL,138,0
329,1,3,"2019-03-11",NULL,NULL,NULL,139,0
330,1,9,"2019-03-11","2019-03-17",2,"El solicitante duplicó la solicitud por error involuntario material",140,1
339,9,7,"2019-03-17",NULL,NULL,NULL,140,0
334,1,3,"2019-03-11","2019-08-09",NULL,NULL,141,0
518,4,3,"2019-08-09",NULL,NULL,NULL,141,0
356,1,3,"2019-03-30","2019-09-26",NULL,NULL,142,0
572,3,4,"2019-09-26","2019-10-02",NULL,NULL,142,0
586,5,6,"2019-10-02",NULL,NULL,NULL,142,0
380,1,3,"2019-04-12","2019-06-07",NULL,NULL,143,0
903,3,9,"2020-02-20","2020-05-29",1,"Debido a los recientes cambios en la dirección ejecutiva se requiere poner en pausa el servicio. Se espera a que la OSN notifique cuando esté en posibilidad de continuar con el servicio.",143,1
463,3,9,"2019-06-07","2019-09-17",1,"El servicio a la Asociación de Scouts del Paraguay fue suspendido temporalmente debido a problemas internos en los órganos de gobierno y administración de la Asociación, por lo que se considera que no existen las condiciones necesarias para dar seguimiento a las acciones establecidas.",143,1
902,4,3,"2020-02-20","2020-02-20",NULL,NULL,143,0
544,9,3,"2019-09-17","2020-02-20",NULL,NULL,143,0
1205,9,7,"2020-05-29",NULL,NULL,NULL,143,0
384,1,3,"2019-04-25","2019-08-09",NULL,NULL,144,0
517,4,3,"2019-08-09",NULL,NULL,NULL,144,0
844,5,5,"2020-02-14","2020-02-19",NULL,NULL,144,0
889,5,6,"2020-02-19",NULL,NULL,NULL,144,0
341,1,3,"2019-03-19",NULL,NULL,NULL,145,0
1134,4,5,"2020-05-12",NULL,NULL,NULL,145,0
1135,4,5,"2020-05-12",NULL,NULL,NULL,145,0
357,0,1,"2019-03-30","2019-03-30",NULL,NULL,146,0
358,1,3,"2019-03-30","2020-03-31",NULL,NULL,146,0
1040,4,6,"2020-03-31",NULL,NULL,NULL,146,0
421,1,3,"2019-05-14","2019-09-02",NULL,NULL,147,0
527,5,6,"2019-09-02","2019-09-25",NULL,NULL,147,0
563,6,8,"2019-09-25",NULL,NULL,NULL,147,0
344,1,3,"2019-03-25","2019-10-25",NULL,NULL,148,0
628,5,6,"2019-10-25",NULL,NULL,NULL,148,0
345,1,3,"2019-03-27","2019-07-22",NULL,NULL,149,0
584,3,4,"2019-10-01",NULL,NULL,NULL,149,0
504,4,3,"2019-07-22","2019-10-01",NULL,NULL,149,0
1165,5,6,"2020-05-22",NULL,NULL,NULL,149,0
1153,5,5,"2020-05-19","2020-05-22",NULL,NULL,149,0
390,1,3,"2019-04-30",NULL,NULL,NULL,150,0
949,4,5,"2020-02-27","2020-03-02",NULL,NULL,150,0
976,5,6,"2020-03-02",NULL,NULL,NULL,150,0
373,1,3,"2019-04-07",NULL,NULL,NULL,151,0
951,4,5,"2020-02-28",NULL,NULL,NULL,151,0
971,5,6,"2020-03-02",NULL,NULL,NULL,151,0
970,5,5,"2020-03-02","2020-03-02",NULL,NULL,151,0
374,1,3,"2019-04-07",NULL,NULL,NULL,152,0
952,4,5,"2020-02-28","2020-03-02",NULL,NULL,152,0
984,5,6,"2020-03-02",NULL,NULL,NULL,152,0
389,1,3,"2019-04-30",NULL,NULL,NULL,153,0
962,4,5,"2020-03-02",NULL,NULL,NULL,153,0
992,5,6,"2020-03-03",NULL,NULL,NULL,153,0
991,5,5,"2020-03-03","2020-03-03",NULL,NULL,153,0
351,0,1,"2019-03-28","2019-03-28",NULL,NULL,154,0
352,1,3,"2019-03-28","2019-11-05",NULL,NULL,154,0
644,5,6,"2019-11-05",NULL,NULL,NULL,154,0
353,1,3,"2019-03-28","2020-04-06",NULL,NULL,155,0
1058,3,9,"2020-04-06","2020-09-03",1,"Due COVID-19 the General Assembly was posponed and it is needed to renew the National Board to get their support for the Action Plan. ",155,1
1479,9,3,"2020-09-03",NULL,NULL,NULL,155,0
359,1,3,"2019-03-30","2019-11-14",NULL,NULL,156,0
655,3,9,"2019-11-14","2019-11-14",2,NULL,156,1
656,9,7,"2019-11-14",NULL,NULL,NULL,156,0
893,0,9,"2020-02-20","2020-02-20",1,NULL,157,1
895,7,10,"2020-02-20",NULL,NULL,NULL,157,0
894,9,7,"2020-02-20",NULL,NULL,NULL,157,0
361,1,3,"2019-03-30","2019-09-26",NULL,NULL,158,0
573,3,4,"2019-09-26","2019-10-02",NULL,NULL,158,0
585,4,6,"2019-10-02",NULL,NULL,NULL,158,0
362,1,3,"2019-03-30","2020-02-20",NULL,NULL,159,0
900,3,9,"2020-02-20","2020-02-20",2,NULL,159,1
899,4,3,"2020-02-20","2020-02-20",NULL,NULL,159,0
901,9,7,"2020-02-20",NULL,NULL,NULL,159,0
363,1,3,"2019-03-30","2020-04-01",NULL,NULL,160,0
1050,3,9,"2020-04-01",NULL,1,NULL,160,1
1049,4,3,"2020-04-01","2020-04-01",NULL,NULL,160,0
382,1,3,"2019-04-16","2019-05-24",NULL,NULL,161,0
438,3,9,"2019-05-24","2020-07-13",3,"Lack of response/communication with NSO to support the service request",161,1
1296,9,7,"2020-07-13",NULL,NULL,NULL,161,0
439,1,3,"2019-05-24",NULL,NULL,NULL,162,0
934,4,5,"2020-02-24","2020-02-24",NULL,NULL,162,0
931,4,5,"2020-02-24",NULL,NULL,NULL,162,0
932,4,5,"2020-02-24",NULL,NULL,NULL,162,0
933,4,5,"2020-02-24",NULL,NULL,NULL,162,0
935,5,6,"2020-02-24",NULL,NULL,NULL,162,0
418,1,3,"2019-05-13","2019-10-11",NULL,NULL,163,0
873,3,9,"2020-02-18",NULL,1,NULL,163,1
613,4,3,"2019-10-11","2020-02-18",NULL,NULL,163,0
864,4,3,"2020-02-18","2020-02-18",NULL,NULL,163,0
370,1,4,"2019-04-06",NULL,NULL,NULL,164,0
376,1,4,"2019-04-10",NULL,NULL,NULL,165,0
1105,4,5,"2020-04-21","2020-04-21",NULL,NULL,165,0
1106,5,6,"2020-04-21",NULL,NULL,NULL,165,0
371,1,3,"2019-04-06",NULL,NULL,NULL,166,0
386,1,3,"2019-04-26",NULL,NULL,NULL,167,0
387,1,3,"2019-04-26",NULL,NULL,NULL,168,0
372,1,4,"2019-04-06",NULL,NULL,NULL,169,0
375,1,3,"2019-04-09","2020-04-20",NULL,NULL,170,0
1102,4,6,"2020-04-20",NULL,NULL,NULL,170,0
444,1,3,"2019-05-26","2019-08-09",NULL,NULL,171,0
516,3,4,"2019-08-09","2019-09-12",NULL,NULL,171,0
539,4,6,"2019-09-12","2019-09-25",NULL,NULL,171,0
562,6,8,"2019-09-25",NULL,NULL,NULL,171,0
381,1,3,"2019-04-15","2019-08-15",NULL,NULL,172,0
519,4,3,"2019-08-15","2020-02-18",NULL,NULL,172,0
1246,4,3,"2020-06-19",NULL,NULL,NULL,172,0
884,4,3,"2020-02-18","2020-06-19",NULL,NULL,172,0
412,1,9,"2019-05-10","2020-04-14",1,NULL,173,1
1087,9,7,"2020-04-14",NULL,NULL,NULL,173,0
377,1,4,"2019-04-11",NULL,NULL,NULL,174,0
1197,4,5,"2020-05-27","2020-05-27",NULL,NULL,174,0
1198,5,6,"2020-05-27",NULL,NULL,NULL,174,0
378,1,3,"2019-04-11",NULL,NULL,NULL,175,0
1170,4,5,"2020-05-25","2020-05-25",NULL,NULL,175,0
1171,5,6,"2020-05-25",NULL,NULL,NULL,175,0
461,1,3,"2019-06-04","2019-07-29",NULL,NULL,176,0
624,3,4,"2019-10-21",NULL,NULL,NULL,176,0
505,4,3,"2019-07-29","2019-10-21",NULL,NULL,176,0
773,5,5,"2020-01-22",NULL,NULL,NULL,176,0
774,5,5,"2020-01-22","2020-01-22",NULL,NULL,176,0
775,5,6,"2020-01-22",NULL,NULL,NULL,176,0
769,5,5,"2020-01-20",NULL,NULL,NULL,176,0
475,1,3,"2019-06-24",NULL,NULL,NULL,177,0
1005,4,5,"2020-03-04","2020-03-04",NULL,NULL,177,0
1006,5,6,"2020-03-04",NULL,NULL,NULL,177,0
393,1,3,"2019-05-02","2019-10-25",NULL,NULL,178,0
632,3,4,"2019-10-25","2020-03-31",NULL,NULL,178,0
1045,4,6,"2020-03-31",NULL,NULL,NULL,178,0
578,1,9,"2019-09-30","2019-09-30",3,"The festival has already happened.",179,1
579,9,7,"2019-09-30",NULL,NULL,NULL,179,0
383,0,1,"2019-04-23","2019-04-25",NULL,NULL,180,0
385,1,3,"2019-04-25","2019-08-23",NULL,NULL,180,0
521,5,6,"2019-08-23","2019-09-25",NULL,NULL,180,0
561,6,8,"2019-09-25",NULL,NULL,NULL,180,0
445,1,3,"2019-05-27","2019-09-18",NULL,NULL,181,0
548,3,4,"2019-09-18","2019-10-23",NULL,NULL,181,0
626,5,6,"2019-10-23",NULL,NULL,NULL,181,0
500,1,3,"2019-07-16","2019-07-16",NULL,NULL,182,0
501,3,9,"2019-07-16","2019-07-16",1,"El Director Regional conversó con la OSN y en conjunto con el Service Team member decidieron no continuar con el servicio.",182,1
502,9,7,"2019-07-16",NULL,NULL,NULL,182,0
443,1,3,"2019-05-26","2019-10-03",NULL,NULL,183,0
1121,3,9,"2020-05-06",NULL,1,"During the emergency time and taking account the internal situation about their small group of people to work in the operational process, the priority will be the service of Youth Programme",183,1
822,4,3,"2020-02-07","2020-05-06",NULL,NULL,183,0
590,4,3,"2019-10-03","2020-02-07",NULL,NULL,183,0
470,1,3,"2019-06-15","2020-03-23",NULL,NULL,184,0
1031,4,3,"2020-03-23",NULL,NULL,NULL,184,0
408,1,3,"2019-05-09","2019-07-13",NULL,NULL,185,0
967,3,9,"2020-03-02","2020-07-03",1,"Debido a cambios en el equipo nacional de la OSN por el momento no hay persona responsable de continuar con este servicio.",185,1
966,4,3,"2020-03-02","2020-03-02",NULL,NULL,185,0
623,4,3,"2019-10-18","2020-02-18",NULL,NULL,185,0
498,4,3,"2019-07-13","2019-10-18",NULL,NULL,185,0
885,4,3,"2020-02-18","2020-03-02",NULL,NULL,185,0
1270,9,3,"2020-07-03",NULL,NULL,NULL,185,0
396,1,9,"2019-05-02","2019-05-13",3,"....",186,1
394,1,9,"2019-05-02","2019-05-02",3,"Se volverá a redactar el servicio.",186,1
395,9,1,"2019-05-02","2019-05-02",NULL,NULL,186,0
419,9,7,"2019-05-13",NULL,NULL,NULL,186,0
417,1,3,"2019-05-13","2019-10-11",NULL,NULL,187,0
874,3,9,"2020-02-18",NULL,1,NULL,187,1
610,4,3,"2019-10-11","2020-02-18",NULL,NULL,187,0
866,4,3,"2020-02-18","2020-02-18",NULL,NULL,187,0
416,1,3,"2019-05-13","2019-10-10",NULL,NULL,188,0
871,3,9,"2020-02-18",NULL,1,"La OSN ha solicitado esperar hasta Abril 2020 para retomar el servicios, por cuanto en Marzo 2020 tendrá lugar su Asamblea Nacional y renovación de autoridades de su órgano de gobierno y desean comenzar el nuevo periodo recibiendo la inducción a la que se refiere este servicio.",188,1
609,4,3,"2019-10-10","2020-02-18",NULL,NULL,188,0
405,1,3,"2019-05-07","2019-11-15",NULL,NULL,189,0
660,5,6,"2019-11-15",NULL,NULL,NULL,189,0
399,1,3,"2019-05-05",NULL,NULL,NULL,190,0
402,0,1,"2019-05-07","2019-05-07",NULL,NULL,191,0
404,1,3,"2019-05-07",NULL,NULL,NULL,191,0
831,4,5,"2020-02-10","2020-03-03",NULL,NULL,191,0
993,5,6,"2020-03-03",NULL,NULL,NULL,191,0
403,1,3,"2019-05-07","2020-03-02",NULL,NULL,192,0
1003,3,9,"2020-03-04",NULL,1,"The NSO is currently having leadership crisis, once the issues are resolved the service will resume ",192,1
958,4,3,"2020-03-02","2020-03-04",NULL,NULL,192,0
406,1,3,"2019-05-08",NULL,NULL,NULL,193,0
1123,4,5,"2020-05-07","2020-05-07",NULL,NULL,193,0
1124,5,6,"2020-05-07",NULL,NULL,NULL,193,0
415,0,1,"2019-05-10","2019-05-14",NULL,NULL,194,0
422,1,3,"2019-05-14","2019-11-06",NULL,NULL,194,0
1078,4,3,"2020-04-13","2020-05-19",NULL,NULL,194,0
645,4,3,"2019-11-06","2020-02-18",NULL,NULL,194,0
1290,4,3,"2020-07-09",NULL,NULL,NULL,194,0
1152,4,3,"2020-05-19","2020-07-09",NULL,NULL,194,0
876,4,3,"2020-02-18","2020-04-13",NULL,NULL,194,0
440,1,3,"2019-05-24","2019-09-03",NULL,NULL,195,0
528,3,4,"2019-09-03","2019-09-10",NULL,NULL,195,0
533,5,6,"2019-09-10","2019-09-10",NULL,NULL,195,0
534,6,8,"2019-09-10",NULL,NULL,NULL,195,0
420,1,3,"2019-05-13",NULL,NULL,NULL,196,0
441,1,3,"2019-05-24","2020-01-05",NULL,NULL,197,0
743,3,9,"2020-01-05","2020-01-29",1,"La ASP hizo el cambio de su Jefe Scout Nacional por lo que los proyectos están detenidos en espera que la nueva JSN ratifique la continuación de la elaboración del PE.",197,1
886,4,3,"2020-02-19",NULL,NULL,NULL,197,0
788,9,3,"2020-01-29","2020-02-19",NULL,NULL,197,0
627,1,3,"2019-10-24","2020-01-31",NULL,NULL,198,0
802,3,9,"2020-01-31","2020-02-18",1,NULL,198,1
859,9,7,"2020-02-18",NULL,NULL,NULL,198,0
465,1,3,"2019-06-12","2020-03-05",NULL,NULL,199,0
1207,4,3,"2020-06-03",NULL,NULL,NULL,199,0
1327,4,5,"2020-07-20",NULL,NULL,NULL,199,0
1326,4,5,"2020-07-20",NULL,NULL,NULL,199,0
1008,4,3,"2020-03-05","2020-06-03",NULL,NULL,199,0
1483,5,5,"2020-09-07",NULL,NULL,NULL,199,0
423,1,3,"2019-05-17","2019-05-17",NULL,NULL,200,0
424,3,4,"2019-05-17","2019-09-27",NULL,NULL,200,0
575,5,6,"2019-09-27","2019-09-27",NULL,NULL,200,0
576,6,8,"2019-09-27",NULL,NULL,NULL,200,0
1187,1,4,"2020-05-26",NULL,NULL,NULL,201,0
1188,1,3,"2020-05-26","2020-05-26",NULL,NULL,202,0
1189,3,4,"2020-05-26",NULL,NULL,NULL,202,0
467,1,3,"2019-06-13",NULL,NULL,NULL,203,0
447,1,3,"2019-05-28","2019-10-10",NULL,NULL,204,0
606,4,3,"2019-10-10",NULL,NULL,NULL,204,0
1111,4,5,"2020-04-28",NULL,NULL,NULL,204,0
1112,5,5,"2020-04-28","2020-05-12",NULL,NULL,204,0
1131,5,6,"2020-05-12",NULL,NULL,NULL,204,0
496,1,4,"2019-07-11",NULL,NULL,NULL,205,0
1176,4,5,"2020-05-26","2020-05-26",NULL,NULL,205,0
1177,5,6,"2020-05-26","2020-07-30",NULL,NULL,205,0
1354,6,8,"2020-07-30",NULL,NULL,NULL,205,0
462,1,3,"2019-06-06",NULL,NULL,NULL,206,0
448,1,3,"2019-05-29",NULL,NULL,NULL,207,0
1051,4,5,"2020-04-01","2020-04-14",NULL,NULL,207,0
1080,5,6,"2020-04-14",NULL,NULL,NULL,207,0
633,1,3,"2019-10-25","2020-01-18",NULL,NULL,208,0
760,3,4,"2020-01-18",NULL,NULL,NULL,208,0
780,4,5,"2020-01-24","2020-03-13",NULL,NULL,208,0
1023,5,6,"2020-03-13",NULL,NULL,NULL,208,0
860,1,9,"2020-02-18",NULL,3,"The NSA will be potentially included in a pilot phase for the new Impact of Scouting Service",209,1
449,1,4,"2019-06-04","2020-01-16",NULL,NULL,210,0
753,3,9,"2020-01-16",NULL,3,"Ancient one",210,1
752,4,3,"2020-01-16","2020-01-16",NULL,NULL,210,0
450,1,4,"2019-06-04","2020-03-30",NULL,NULL,211,0
1036,4,6,"2020-03-30",NULL,NULL,NULL,211,0
468,1,9,"2019-06-13","2019-10-08",2,NULL,212,1
599,9,7,"2019-10-08",NULL,NULL,NULL,212,0
480,1,3,"2019-06-28","2019-07-10",NULL,NULL,213,0
491,3,4,"2019-07-10","2019-11-29",NULL,NULL,213,0
728,5,6,"2019-11-29",NULL,NULL,NULL,213,0
464,0,1,"2019-06-10","2019-06-19",NULL,NULL,214,0
474,1,3,"2019-06-19","2020-02-18",NULL,NULL,214,0
877,4,3,"2020-02-18","2020-04-06",NULL,NULL,214,0
1244,4,3,"2020-06-16",NULL,NULL,NULL,214,0
1059,4,3,"2020-04-06","2020-06-16",NULL,NULL,214,0
1415,4,5,"2020-08-05",NULL,NULL,NULL,214,0
466,1,3,"2019-06-12",NULL,NULL,NULL,215,0
1163,4,5,"2020-05-22","2020-05-22",NULL,NULL,215,0
1164,5,6,"2020-05-22",NULL,NULL,NULL,215,0
471,1,3,"2019-06-15","2020-03-21",NULL,NULL,216,0
