"previousstatus","currentstatus","startdate","enddate","supportprojectstatuslog2supportproject","changetype"
1,3,"2018-09-08","2018-09-27",18,0
1,3,"2018-07-04","2018-07-26",18,0
1,3,"2018-07-26","2018-09-08",18,0
4,5,"2018-09-27","2019-01-30",18,0
6,8,"2019-01-30",NULL,18,0
1,3,"2018-08-06","2018-09-14",19,0
1,3,"2018-09-14","2018-09-14",19,0
4,5,"2018-09-14","2018-09-27",19,0
4,5,"2018-09-27","2019-01-25",19,0
4,5,"2018-09-14","2018-09-14",19,0
6,8,"2019-01-25",NULL,19,0
1,9,"2018-07-05","2018-07-05",21,1
7,10,"2020-02-21",NULL,21,0
9,7,"2018-07-05",NULL,21,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-04","2018-07-19",22,0
1,9,"2018-07-19","2018-07-19",22,0
1,9,"2018-07-19","2018-07-25",22,0
1,9,"2018-07-04","2018-07-04",22,0
1,9,"2018-07-25","2018-07-25",22,1
9,7,"2018-07-25",NULL,22,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-07-06",23,0
1,3,"2018-07-06","2018-09-04",23,0
3,4,"2018-09-04","2018-11-05",23,0
3,4,"2018-11-05","2019-07-02",23,0
4,6,"2019-07-02",NULL,23,0
1,3,"2018-07-06","2018-07-06",24,0
1,3,"2018-07-06","2018-07-06",24,0
1,3,"2018-07-06","2018-07-06",24,0
3,4,"2019-02-08",NULL,24,0
3,4,"2018-07-06","2018-09-04",24,0
3,4,"2018-09-04","2019-02-08",24,0
1,3,"2018-07-06","2018-09-04",25,0
3,4,"2018-09-04","2019-02-13",25,0
3,4,"2019-02-13",NULL,25,0
1,3,"2018-07-06","2019-01-11",26,0
3,4,"2019-01-11","2019-01-11",26,0
4,5,"2019-01-11",NULL,26,0
1,3,"2018-07-06","2018-07-06",27,0
3,4,"2019-02-12","2020-02-20",27,0
3,4,"2018-07-06","2019-02-12",27,0
4,6,"2020-02-20",NULL,27,0
1,3,"2018-07-06","2018-07-06",28,0
1,3,"2018-07-06","2019-02-13",28,0
3,4,"2019-02-13",NULL,28,0
1,3,"2018-09-04","2019-01-15",29,0
1,3,"2018-07-06","2018-09-04",29,0
1,3,"2018-09-04","2018-09-04",29,0
3,4,"2019-01-15","2019-04-04",29,0
4,6,"2019-04-04",NULL,29,0
1,3,"2018-09-04","2018-12-10",30,0
3,4,"2018-12-10","2018-12-10",30,0
4,5,"2018-12-11","2019-03-05",30,0
4,5,"2018-12-10","2018-12-10",30,0
4,5,"2018-12-10","2018-12-10",30,0
4,6,"2019-03-05","2019-03-05",30,0
4,5,"2018-12-10","2018-12-11",30,0
6,8,"2019-03-05",NULL,30,0
1,3,"2018-09-04","2018-11-05",31,0
3,4,"2018-11-05","2018-12-11",31,0
4,6,"2019-03-05","2019-03-05",31,0
4,5,"2018-12-12","2019-03-05",31,0
4,5,"2018-12-12","2018-12-12",31,0
4,5,"2018-12-11","2018-12-12",31,0
6,8,"2019-03-05",NULL,31,0
1,3,"2018-09-04","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,0
3,9,"2018-12-12","2018-12-12",32,1
4,5,"2018-12-12","2019-03-05",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,5,"2018-12-12","2018-12-12",32,0
4,6,"2019-03-05","2019-03-05",32,0
6,8,"2019-03-05",NULL,32,0
9,3,"2018-12-12","2018-12-12",32,0
1,3,"2018-09-04","2019-02-13",33,0
3,9,"2019-02-13",NULL,33,1
1,3,"2018-09-04","2018-11-08",34,0
3,9,"2018-11-08",NULL,34,1
0,9,"2018-07-10","2018-07-18",35,0
0,9,"2018-07-18","2018-07-18",35,1
9,7,"2018-07-18",NULL,35,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
1,3,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
4,5,"2018-07-19","2018-07-19",36,0
6,8,"2018-07-19",NULL,36,0
1,3,"2018-08-09",NULL,38,0
1,3,"2018-08-29","2018-08-29",39,0
1,3,"2018-10-04","2018-10-04",39,0
1,3,"2018-10-04","2018-10-04",39,0
1,3,"2018-08-29","2018-10-04",39,0
1,3,"2018-08-29","2018-08-29",39,0
1,3,"2018-08-14","2018-08-29",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-14","2018-08-14",39,0
1,3,"2018-08-13","2018-08-14",39,0
1,3,"2018-08-13","2018-08-13",39,0
1,3,"2018-08-13","2018-08-13",39,0
4,5,"2018-10-04",NULL,39,0
1,3,"2018-08-16","2018-08-16",40,0
1,3,"2018-08-16","2018-08-16",40,0
1,3,"2018-10-30",NULL,40,0
1,3,"2018-08-16","2018-10-30",40,0
4,5,"2020-05-27","2020-05-27",40,0
5,6,"2020-05-27",NULL,40,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2019-02-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
1,3,"2018-08-27","2018-08-27",41,0
3,4,"2019-02-27",NULL,41,0
0,1,"2018-08-29","2018-08-29",42,0
1,9,"2019-02-17","2019-02-17",42,1
1,9,"2018-08-29","2018-08-29",42,0
1,9,"2018-08-29","2019-02-17",42,0
9,7,"2019-02-17",NULL,42,0
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2019-02-13","2019-02-13",43,1
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2018-09-01","2019-02-13",43,0
1,9,"2018-09-01","2018-09-01",43,0
1,9,"2018-09-01","2018-09-01",43,0
9,7,"2019-02-13",NULL,43,0
1,3,"2018-08-31","2019-03-06",44,0
3,4,"2019-03-06",NULL,44,0
4,5,"2020-04-14","2020-04-14",44,0
5,6,"2020-04-14",NULL,44,0
1,3,"2018-09-03","2018-09-29",45,0
4,5,"2018-09-29","2018-09-29",45,0
6,8,"2018-09-29",NULL,45,0
1,9,"2018-09-08","2018-09-08",46,1
9,7,"2018-09-08",NULL,46,0
1,3,"2018-09-14","2018-10-09",47,0
1,3,"2018-09-08","2018-09-14",47,0
1,3,"2018-09-08","2018-09-08",47,0
1,3,"2018-10-09","2019-05-10",47,0
1,3,"2018-09-08","2018-09-08",47,0
4,6,"2019-05-10","2019-08-05",47,0
6,8,"2019-08-05",NULL,47,0
1,3,"2018-09-08","2018-09-11",48,0
1,3,"2018-09-11","2019-01-16",48,0
4,5,"2019-01-16","2019-01-30",48,0
6,8,"2019-01-30",NULL,48,0
1,3,"2018-09-10","2019-02-27",49,0
3,4,"2019-02-27",NULL,49,0
1,3,"2018-10-29","2018-10-29",50,0
1,3,"2018-10-29","2018-10-30",50,0
1,3,"2018-10-30","2018-11-27",50,0
1,3,"2018-10-29","2018-10-29",50,0
1,3,"2018-09-11","2018-09-11",50,0
1,3,"2018-09-11","2018-09-11",50,0
1,3,"2018-09-11","2018-09-11",50,0
1,3,"2018-10-29","2018-10-29",50,0
1,3,"2018-09-11","2018-10-29",50,0
1,3,"2018-09-11","2018-09-11",50,0
5,6,"2018-11-27","2018-11-27",50,0
5,6,"2018-11-27","2018-12-09",50,0
5,6,"2018-12-09",NULL,50,0
5,6,"2018-11-27","2018-11-27",50,0
5,6,"2018-11-27","2018-11-27",50,0
1,3,"2019-01-22","2019-10-11",51,0
4,6,"2019-10-11",NULL,51,0
1,3,"2018-12-11","2019-04-11",52,0
5,6,"2019-04-11","2019-09-25",52,0
6,8,"2019-09-25",NULL,52,0
1,3,"2019-01-29","2019-10-10",53,0
5,6,"2019-10-10",NULL,53,0
1,9,"2019-02-13","2019-04-01",54,1
9,7,"2019-04-01",NULL,54,0
0,1,"2019-05-07","2019-10-11",55,0
1,4,"2019-10-11",NULL,55,0
0,1,"2018-09-20","2018-09-20",56,0
1,3,"2018-09-22","2018-09-26",56,0
1,3,"2018-09-20","2018-09-20",56,0
1,3,"2018-09-20","2018-09-22",56,0
1,3,"2018-09-26","2018-09-26",56,0
1,3,"2018-09-22","2018-09-22",56,0
1,3,"2018-09-26","2018-09-26",56,0
1,3,"2018-09-22","2018-09-22",56,0
4,5,"2018-09-26",NULL,56,0
1,4,"2019-03-13","2019-11-12",57,0
5,6,"2019-11-12",NULL,57,0
0,1,"2019-05-07","2019-10-11",58,0
1,4,"2019-10-11",NULL,58,0
4,5,"2020-05-12",NULL,58,0
5,5,"2020-05-12",NULL,58,0
0,9,"2018-10-22","2018-10-22",59,1
0,9,"2018-10-08","2018-10-22",59,0
7,10,"2020-02-21",NULL,59,0
9,7,"2018-10-22",NULL,59,0
1,3,"2018-09-29","2018-09-29",61,0
1,3,"2018-09-29","2018-09-29",61,0
1,3,"2018-09-29","2018-09-29",61,0
4,5,"2018-09-29","2018-09-29",61,0
4,5,"2018-09-29","2018-09-29",61,0
4,5,"2018-09-29","2018-09-29",61,0
6,8,"2018-09-29",NULL,61,0
1,3,"2018-10-01","2018-10-01",62,0
1,3,"2018-10-01","2018-10-01",62,0
1,3,"2018-10-01","2018-10-01",62,0
1,3,"2018-10-01","2018-10-01",62,0
1,3,"2018-10-01","2018-10-24",62,0
1,3,"2018-10-01","2018-10-01",62,0
4,5,"2018-12-04","2019-03-05",62,0
4,5,"2018-10-24","2018-12-04",62,0
4,6,"2019-03-05","2019-03-05",62,0
6,8,"2019-03-05",NULL,62,0
1,3,"2018-10-04","2018-10-04",63,0
1,3,"2018-10-04","2018-11-15",63,0
1,3,"2018-10-04","2018-10-04",63,0
3,4,"2018-11-15","2020-06-15",63,0
4,3,"2020-06-15",NULL,63,0
1,3,"2019-02-25","2020-02-18",64,0
1,9,"2018-12-13","2018-12-13",64,1
4,6,"2020-02-18",NULL,64,0
9,1,"2018-12-13","2019-02-25",64,0
1,3,"2018-10-10","2020-04-14",65,0
4,6,"2020-04-14",NULL,65,0
1,3,"2019-03-30","2020-03-30",66,0
4,6,"2020-03-30",NULL,66,0
1,3,"2019-02-12","2019-10-02",67,0
5,6,"2019-10-02",NULL,67,0
1,3,"2018-10-29","2018-12-12",68,0
3,4,"2018-12-12","2019-11-18",68,0
3,4,"2019-11-18","2019-11-21",68,0
4,6,"2019-11-21",NULL,68,0
4,3,"2019-11-18","2019-11-18",68,0
1,3,"2018-10-24","2018-11-25",69,0
1,3,"2018-11-25","2018-11-29",69,0
1,3,"2018-10-24","2018-10-24",69,0
3,4,"2018-11-29","2019-01-11",69,0
4,5,"2019-01-11","2019-05-10",69,0
4,6,"2019-05-10","2019-08-05",69,0
6,8,"2019-08-05",NULL,69,0
1,3,"2018-11-15","2018-11-15",70,0
4,5,"2018-11-15",NULL,70,0
1,3,"2018-11-01","2019-02-28",71,0
1,4,"2019-02-28",NULL,71,0
1,3,"2018-11-28","2018-12-03",72,0
1,3,"2018-11-07","2018-11-14",72,0
1,3,"2018-11-14","2018-11-28",72,0
1,3,"2018-12-03",NULL,72,0
4,5,"2020-01-22",NULL,72,0
5,6,"2020-03-02",NULL,72,0
5,5,"2020-03-02","2020-03-02",72,0
1,3,"2018-11-07","2018-11-15",73,0
1,3,"2019-01-09",NULL,73,0
1,3,"2018-11-15","2019-01-09",73,0
1,3,"2018-11-15","2018-11-15",73,0
1,3,"2018-11-15","2018-11-15",73,0
4,5,"2020-02-14",NULL,73,0
5,5,"2020-03-02",NULL,73,0
5,5,"2020-03-02","2020-03-02",73,0
5,6,"2020-03-02",NULL,73,0
1,3,"2018-11-19","2018-12-14",74,0
4,5,"2018-12-14","2019-01-30",74,0
6,8,"2019-01-30",NULL,74,0
1,4,"2019-02-28",NULL,75,0
1,3,"2018-11-15","2018-11-15",76,0
4,5,"2018-11-15","2018-11-28",76,0
4,5,"2018-11-15","2018-11-15",76,0
4,5,"2018-11-28","2018-11-28",76,0
4,5,"2018-11-28",NULL,76,0
1,3,"2018-11-15","2018-11-15",77,0
4,5,"2018-11-15",NULL,77,0
1,3,"2018-11-28","2018-11-28",78,0
4,5,"2018-11-28",NULL,78,0
1,3,"2018-12-03",NULL,79,0
4,5,"2020-05-25","2020-05-25",79,0
5,6,"2020-05-25",NULL,79,0
1,3,"2018-12-16",NULL,80,0
4,5,"2020-05-27","2020-05-27",80,0
5,6,"2020-05-27",NULL,80,0
6,5,"2020-05-27",NULL,80,0
6,5,"2020-05-27",NULL,80,0
1,4,"2019-02-28",NULL,81,0
1,3,"2019-08-30",NULL,84,0
1,3,"2018-11-28","2018-11-28",85,0
4,5,"2018-11-30",NULL,85,0
4,5,"2018-11-28","2018-11-30",85,0
4,5,"2018-11-28","2018-11-28",85,0
1,4,"2019-02-28",NULL,86,0
1,3,"2018-12-03",NULL,87,0
1,9,"2019-03-27","2019-03-27",88,1
9,7,"2019-03-27",NULL,88,0
1,3,"2019-02-04","2020-07-31",89,0
3,9,"2020-07-31","2020-07-31",89,1
4,3,"2020-07-31","2020-07-31",89,0
7,10,"2020-07-31",NULL,89,0
9,7,"2020-07-31",NULL,89,0
1,3,"2019-02-28",NULL,90,0
1,3,"2019-01-17","2019-09-20",91,0
4,6,"2019-09-20",NULL,91,0
1,3,"2019-01-11","2019-04-04",92,0
5,6,"2019-04-04","2019-04-04",92,0
6,8,"2019-04-04",NULL,92,0
0,1,"2019-04-30","2019-04-30",93,0
1,3,"2019-04-30",NULL,93,0
4,5,"2020-03-02","2020-03-02",93,0
5,6,"2020-03-02",NULL,93,0
0,1,"2019-02-05","2019-02-07",94,0
1,3,"2019-02-07",NULL,94,0
4,5,"2020-02-17",NULL,94,0
4,5,"2020-02-17",NULL,94,0
5,5,"2020-02-26","2020-02-26",94,0
5,5,"2020-02-17",NULL,94,0
5,6,"2020-02-26",NULL,94,0
1,3,"2019-01-22","2019-10-25",96,0
5,6,"2019-10-25",NULL,96,0
1,9,"2019-01-22","2019-01-22",97,1
9,7,"2019-01-22",NULL,97,0
1,3,"2019-08-30",NULL,98,0
1,3,"2019-02-12","2019-10-25",99,0
3,4,"2019-10-25","2019-10-25",99,0
4,6,"2019-10-25",NULL,99,0
1,3,"2019-04-01","2019-05-20",100,0
3,4,"2019-05-20","2019-10-09",100,0
4,6,"2019-10-09",NULL,100,0
1,9,"2019-02-20","2019-02-20",101,1
9,7,"2019-02-20",NULL,101,0
1,3,"2019-04-30","2020-02-27",102,0
4,3,"2020-02-27",NULL,102,0
1,3,"2019-02-05",NULL,103,0
4,5,"2020-02-17",NULL,103,0
4,5,"2020-02-17","2020-03-02",103,0
5,6,"2020-03-02",NULL,103,0
1,3,"2019-02-06",NULL,104,0
4,5,"2020-06-09",NULL,104,0
5,5,"2020-06-11",NULL,104,0
5,5,"2020-06-09",NULL,104,0
5,5,"2020-06-09",NULL,104,0
5,5,"2020-06-11","2020-07-07",104,0
5,6,"2020-07-07",NULL,104,0
0,1,"2019-02-11","2019-02-11",105,0
1,3,"2019-02-11",NULL,105,0
1,9,"2019-02-11","2019-02-11",106,1
9,7,"2019-02-11",NULL,106,0
0,9,"2019-02-11","2019-02-11",107,1
7,10,"2020-02-21",NULL,107,0
9,7,"2019-02-11",NULL,107,0
1,3,"2019-03-30",NULL,108,0
1,3,"2019-03-14","2019-08-07",109,0
3,9,"2020-05-26",NULL,109,1
4,3,"2020-05-26","2020-05-26",109,0
4,3,"2019-08-07","2020-05-26",109,0
1,9,"2019-03-14","2019-05-03",110,1
1,4,"2019-05-03",NULL,110,0
5,5,"2020-05-26",NULL,110,0
9,1,"2019-05-03","2019-05-03",110,0
1,9,"2020-02-26",NULL,111,1
1,3,"2019-03-08","2020-03-24",112,0
4,6,"2020-03-24",NULL,112,0
1,3,"2019-03-30","2019-10-07",113,0
3,4,"2019-10-07","2020-04-20",113,0
4,6,"2020-04-20",NULL,113,0
1,3,"2019-02-25","2019-07-10",114,0
4,3,"2020-04-07",NULL,114,0
4,3,"2019-10-03","2020-02-07",114,0
4,3,"2019-07-10","2019-10-03",114,0
4,3,"2020-02-07","2020-04-07",114,0
1,4,"2019-02-27","2019-05-25",115,0
5,6,"2019-05-25","2019-05-27",115,0
6,8,"2019-05-27",NULL,115,0
1,3,"2019-02-21","2019-10-03",116,0
4,3,"2019-10-03","2020-02-07",116,0
4,3,"2020-02-07",NULL,116,0
1,4,"2019-02-28",NULL,117,0
4,5,"2020-05-26","2020-05-26",117,0
5,6,"2020-05-26","2020-07-30",117,0
6,8,"2020-07-30",NULL,117,0
1,3,"2020-05-26",NULL,118,0
1,9,"2019-05-10",NULL,119,1
0,1,"2019-02-26","2019-08-30",120,0
1,3,"2019-08-30",NULL,120,0
1,3,"2019-03-07","2019-07-10",121,0
3,4,"2019-07-10","2019-09-06",121,0
4,6,"2019-09-06","2019-09-25",121,0
4,3,"2019-07-10","2019-07-10",121,0
6,8,"2019-09-25",NULL,121,0
1,3,"2019-02-27",NULL,122,0
5,5,"2020-05-02",NULL,122,0
1,3,"2019-03-11","2019-10-11",123,0
3,9,"2020-02-18",NULL,123,1
4,3,"2019-10-11","2020-02-18",123,0
4,3,"2020-02-18","2020-02-18",123,0
1,3,"2019-03-27","2019-11-20",124,0
3,9,"2020-02-19","2020-05-28",124,1
4,3,"2019-11-20","2020-02-19",124,0
9,3,"2020-05-28",NULL,124,0
1,3,"2019-03-08","2019-03-08",125,0
3,4,"2019-03-08","2019-03-08",125,0
4,6,"2019-03-08","2019-05-10",125,0
6,8,"2019-05-10",NULL,125,0
1,3,"2019-03-08","2019-05-10",126,0
4,6,"2019-05-10","2019-09-26",126,0
6,8,"2019-09-26",NULL,126,0
1,3,"2019-05-09","2019-08-07",127,0
4,3,"2019-08-07",NULL,127,0
1,3,"2019-02-27",NULL,128,0
1,3,"2019-08-30",NULL,129,0
1,3,"2019-02-27","2020-07-16",130,0
4,3,"2020-07-16",NULL,130,0
1,3,"2019-03-14",NULL,131,0
4,5,"2020-04-03","2020-04-14",131,0
5,6,"2020-04-14",NULL,131,0
1,3,"2019-04-04","2019-09-25",132,0
3,4,"2020-06-30","2020-06-30",132,0
4,3,"2020-02-07","2020-06-30",132,0
4,3,"2020-06-30",NULL,132,0
4,3,"2019-09-25","2020-02-07",132,0
